aantal
343
479
808
800
800
736
756
704
1008
1120
316
360
360
360
360
280
325
345
345
345
345
345
345
672
640
640
640
1056
1056
1056
800
800
1056
1200
800
1056
1056
1056
1056
400
800
800
1056
800
464
640
640
640
640
640
1120
840
1144
1568
1120
896
1120
1120
1120
896
896
784
1568
856
