Nr;Logo;artikelomschrijving;Bestelnr;artnr;barcode;eenheid;Prijs;Tekst;HART;rechtsonder;vanset;omschrijving;beeld
1;Roundup.pdf;Natural Concentraat 270ml;5029;3312022;8711969028319;12;20,45;Wit (diap);donker groen (PMS: 2266);2021;125;Roundup Natural Prijsstickers - V35842;202049048_roundup_1.pdf
2;Roundup.pdf;Natural Concentraat 270ml;5029;3312022;8711969028319;12;20,45;Wit (diap);donker groen (PMS: 2266);2021;125;Roundup Natural Prijsstickers - V35842;202049048_roundup_2.pdf
3;Roundup.pdf;Natural Concentraat 540ml;5018;3312045;8711969028326;12;37,75;Wit (diap);donker groen (PMS: 2266);2021;125;Roundup Natural Prijsstickers - V35842;202049048_roundup_3.pdf
4;Roundup.pdf;Natural Concentraat 900ml;5038;3312046;8711969028333;12;53,95;Wit (diap);donker groen (PMS: 2266);2021;125;Roundup Natural Prijsstickers - V35842;202049048_roundup_4.pdf
5;Roundup.pdf;Natural Kant en Klaar 1L spray;5033;3312530;8711349128004;12;15,75;Wit (diap);donker groen (PMS: 2266);2021;125;Roundup Natural Prijsstickers - V35842;202049048_roundup_5.pdf
6;Roundup.pdf;Natural Kant en Klaar 1L spray;5033;3312530;8711349128004;12;15,75;Wit (diap);donker groen (PMS: 2266);2021;125;Roundup Natural Prijsstickers - V35842;202049048_roundup_6.pdf
