Nr;Logo;artikelomschrijving;Bestelnr;artnr;barcode;eenheid;Prijs;Tekst;HART;rechtsonder;vanset;omschrijving;beeld
1;KB Home Defense;Muizen- en Rattenverjager Ultrasoon (60m2);18039;HDULT60;3,12197E+12;6;19,95;Wit (diap);M90%, Y90%, K100%;2021;60;KB Muizen- en Rattenverjager Display 60*40 - V35841;202049048_KB_28.pdf
2;KB Home Defense;Muizen- en Rattenverjager Elektromagnetisch (130 m2);18041;HDULT130;3,12197E+12;6;24,95;Wit (diap);M90%, Y90%, K100%;2021;60;KB Muizen- en Rattenverjager Display 60*40 - V35841;202049048_KB_29.pdf
3;KB Home Defense;Muizen- en Rattenverjager 3-in-1 (220 m2);18043;HDULT220;3,12197E+12;6;34,95;Wit (diap);M90%, Y90%, K100%;2021;60;KB Muizen- en Rattenverjager Display 60*40 - V35841;202049048_KB_30.pdf
