Nr;Logo;artikelomschrijving;Bestelnr;artnr;barcode;eenheid;Prijs;Tekst;HART;rechtsonder;vanset;omschrijving;beeld
1;Pokon (diap);Tegen Mieren lokdoos 2st;32651;7075040100;8711969032644;20;6,99;Wit (diap);donker groen (PMS: 2266);2021;100;Pokon Tegen Mieren Display Prijsstickers - V35581;202049048_pokon_10.pdf
2;Pokon (diap);Tegen Mieren lokdoos 2st;32651;7075040100;8711969032644;20;6,99;Wit (diap);donker groen (PMS: 2266);2021;100;Pokon Tegen Mieren Display Prijsstickers - V35581;202049048_pokon_11.pdf
3;Pokon (diap);Tegen Mieren poeder 250gr;2170;7076037100;8711969027718;12;9,99;Wit (diap);donker groen (PMS: 2266);2021;100;Pokon Tegen Mieren Display Prijsstickers - V35581;202049048_pokon_12.pdf
4;Pokon (diap);Tegen Mieren poeder 250gr;2170;7076037100;8711969027718;12;9,99;Wit (diap);donker groen (PMS: 2266);2021;100;Pokon Tegen Mieren Display Prijsstickers - V35581;202049048_pokon_13.pdf
5;Pokon (diap);Tegen Mieren poeder 400gr;2171;7076038100;8711969027732;12;14,95;Wit (diap);donker groen (PMS: 2266);2021;100;Pokon Tegen Mieren Display Prijsstickers - V35581;202049048_pokon_14.pdf
6;Pokon (diap);Tegen Mieren poeder 400gr;2171;7076038100;8711969027732;12;14,95;Wit (diap);donker groen (PMS: 2266);2021;100;Pokon Tegen Mieren Display Prijsstickers - V35581;202049048_pokon_15.pdf
