Nr;Logo;artikelomschrijving;Bestelnr;artnr;barcode;eenheid;Prijs;Tekst;HART;rechtsonder;vanset;omschrijving;beeld
1;Pokon (diap);Tegen Onkruid Concentraat 900ml;2137;7079030100;8711969027596;8;34,95;Wit (diap);donker groen (PMS: 2266);2021;100;Pokon Onkruid 900ml Display Prijsstickers - V35837;202049048_pokon_1.pdf
2;Pokon (diap);Tegen Onkruid Concentraat 900ml;2137;7079030100;8711969027596;8;34,95;Wit (diap);donker groen (PMS: 2266);2021;100;Pokon Onkruid 900ml Display Prijsstickers - V35837;202049048_pokon_2.pdf
3;Pokon (diap);Tegen Onkruid Concentraat 900ml;2137;7079030100;8711969027596;8;34,95;Wit (diap);donker groen (PMS: 2266);2021;100;Pokon Onkruid 900ml Display Prijsstickers - V35837;202049048_pokon_3.pdf
