Nr;Logo;artikelomschrijving;Bestelnr;artnr;barcode;eenheid;Prijs;Tekst;HART;rechtsonder;vanset;omschrijving;beeld
1;KB Home Defense;Muizen Pasta (zwart) met lokstation 2 stuks;7305;8060470100;8711969029620;12;11,95;Wit (diap);M90%, Y90%, K100%;2021;100;KB Muizen Display 60*40 - V35701;202049048_KB_1.pdf
2;KB Home Defense;Muizen Granen (zwart) met lokstation 2 stuks;7306;8060471100;8711969029644;12;13,95;Wit (diap);M90%, Y90%, K100%;2021;100;KB Muizen Display 60*40 - V35701;202049048_KB_2.pdf
3;KB Home Defense;Muizen Pasta (blauw) met lokstation 2 stuks;7308;8059470100;8711969029682;12;11,95;Wit (diap);M90%, Y90%, K100%;2021;100;KB Muizen Display 60*40 - V35701;202049048_KB_3.pdf
4;KB Home Defense;Muizen Granen (rood) met Lokstation 2 stuks;7310;8058474100;8711969029743;12;11,95;Wit (diap);M90%, Y90%, K100%;2021;100;KB Muizen Display 60*40 - V35701;202049048_KB_4.pdf
5;KB Home Defense;Muizenval kunststof 2 stuks;28468;28468;3121970160246;7;6,99;Wit (diap);M90%, Y90%, K100%;2021;100;KB Muizen Display 60*40 - V35701;202049048_KB_5.pdf
6;KB Home Defense;Muizenval Classic 2 stuks;28335;28335;3121970160260;24;2,29;Wit (diap);M90%, Y90%, K100%;2021;100;KB Muizen Display 60*40 - V35701;202049048_KB_6.pdf
