Nr;Logo;artikelomschrijving;Bestelnr;artnr;barcode;eenheid;Prijs;Tekst;HART;rechtsonder;vanset;omschrijving;beeld
1;KB Home Defense;Groene Aanslag Reiniger concentraat 1000 ml;7046;7026032100;8711969030725;9;3,99;Wit (diap);M90%, Y90%, K100%;2021;125;KB Groene aanslag Display 60*40 - V35727;202049048_KB_7.pdf
2;KB Home Defense;Groene Aanslag Reiniger concentraat 1000 ml;7046;7026032100;8711969030725;9;3,99;Wit (diap);M90%, Y90%, K100%;2021;125;KB Groene aanslag Display 60*40 - V35727;202049048_KB_8.pdf
3;KB Home Defense;Groene Aanslag Reiniger concentraat 1000 ml;7046;7026032100;8711969030725;9;3,99;Wit (diap);M90%, Y90%, K100%;2021;125;KB Groene aanslag Display 60*40 - V35727;202049048_KB_9.pdf
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
