Nr;Logo;artikelomschrijving;Bestelnr;artnr;barcode;eenheid;Prijs;Tekst;HART;rechtsonder;vanset;omschrijving;beeld
1;Pokon (diap);Tegen Onkruid RTU 1L;2138;7078032100;8711969027619;6;14,25;Wit (diap);donker groen (PMS: 2266);2021;75;Pokon Tegen Onkruid RTU Display Prijsstickers - V35838;202049048_pokon_38.pdf
2;Pokon (diap);Tegen Onkruid RTU 1L;2138;7078032100;8711969027619;6;14,25;Wit (diap);donker groen (PMS: 2266);2021;75;Pokon Tegen Onkruid RTU Display Prijsstickers - V35838;202049048_pokon_39.pdf
3;Pokon (diap);Tegen Onkruid RTU 1L;2138;7078032100;8711969027619;6;14,25;Wit (diap);donker groen (PMS: 2266);2021;75;Pokon Tegen Onkruid RTU Display Prijsstickers - V35838;202049048_pokon_40.pdf
4;Pokon (diap);Tegen Onkruid RTU 3L ;2139;7078033100;8711969027633;4;35,45;Wit (diap);donker groen (PMS: 2266);2021;75;Pokon Tegen Onkruid RTU Display Prijsstickers - V35838;202049048_pokon_41.pdf
5;Pokon (diap);Tegen Onkruid RTU 3L ;2139;7078033100;8711969027633;4;35,45;Wit (diap);donker groen (PMS: 2266);2021;75;Pokon Tegen Onkruid RTU Display Prijsstickers - V35838;202049048_pokon_42.pdf
