Nr;Logo;artikelomschrijving;Bestelnr;artnr;barcode;eenheid;Prijs;Tekst;HART;rechtsonder;vanset;omschrijving;beeld
1;Pokon (diap);Bio Plantkuur Bladinsecten capsules 12 stuks;2727;7007006100;8711969030305;20;4,99;Wit (diap);donker groen (PMS: 2266);2021;60;Pokon Bio Plantkuur Display Prijsstickers - V35836;202049048_pokon_43.pdf
2;Pokon (diap);Bio Plantkuur Bladinsecten 500ml;2748;7033036100;8711969031807;12;10,95;Wit (diap);donker groen (PMS: 2266);2021;60;Pokon Bio Plantkuur Display Prijsstickers - V35836;202049048_pokon_44.pdf
3;Pokon (diap);Bio Plantkuur Bladinsecten Spray 750ml;2747;7033038100;8711969031784;6;11,95;Wit (diap);donker groen (PMS: 2266);2021;60;Pokon Bio Plantkuur Display Prijsstickers - V35836;202049048_pokon_45.pdf
4;Pokon (diap);Bio Plantkuur Bladinsecten Spray 750ml;2747;7033038100;8711969031784;6;11,95;Wit (diap);donker groen (PMS: 2266);2021;60;Pokon Bio Plantkuur Display Prijsstickers - V35836;202049048_pokon_46.pdf
5;Pokon (diap);Bio Plantkuur Bodeminsecten 500ml;2749;7034036100;8711969031821;12;10,95;Wit (diap);donker groen (PMS: 2266);2021;60;Pokon Bio Plantkuur Display Prijsstickers - V35836;202049048_pokon_47.pdf
6;Pokon (diap);Bio Plantkuur Grasinsecten 500ml;2741;7031036100;8711969031128;12;10,95;Wit (diap);donker groen (PMS: 2266);2021;60;Pokon Bio Plantkuur Display Prijsstickers - V35836;202049048_pokon_48.pdf
7;Pokon (diap);Bio Plantkuur Schimmelgevoelige Planten Spray 500ml;2724;7008463100;8711969030244;6;9,99;Wit (diap);donker groen (PMS: 2266);2021;60;Pokon Bio Plantkuur Display Prijsstickers - V35836;202049048_pokon_49.pdf
8;Pokon (diap);Bio Plantkuur Schimmelgevoelige Planten Spray 500ml;2724;7008463100;8711969030244;6;9,99;Wit (diap);donker groen (PMS: 2266);2021;60;Pokon Bio Plantkuur Display Prijsstickers - V35836;202049048_pokon_50.pdf
