Nr;Logo;artikelomschrijving;Bestelnr;artnr;barcode;eenheid;Prijs;Tekst;HART;rechtsonder;vanset;omschrijving;beeld
1;Roundup.pdf;Groene Aanslag Reiniger Concentraat 240ml;32934;3330023;8711969032941;12;13,95;Wit (diap);donker groen (PMS: 2266);2021;75;Roundup Groene Aanslag Prijsstickers - V35843;202049048_roundup_7.pdf
2;Roundup.pdf;Groene Aanslag Reiniger Concentraat 400ml;32910;3340023;8711969032927;12;19,95;Wit (diap);donker groen (PMS: 2266);2021;75;Roundup Groene Aanslag Prijsstickers - V35843;202049048_roundup_8.pdf
3;Roundup.pdf;Groene Aanslag Reiniger Concentraat 240ml;32934;3330023;8711969032941;12;13,95;Wit (diap);donker groen (PMS: 2266);2021;75;Roundup Groene Aanslag Prijsstickers - V35843;202049048_roundup_9.pdf
4;Roundup.pdf;Groene Aanslag Reiniger Concentraat 400ml;32910;3340023;8711969032927;12;19,95;Wit (diap);donker groen (PMS: 2266);2021;75;Roundup Groene Aanslag Prijsstickers - V35843;202049048_roundup_10.pdf
5;Roundup.pdf;Groene Aanslag Reiniger Concentraat 240ml;32934;3330023;8711969032941;12;13,95;Wit (diap);donker groen (PMS: 2266);2021;75;Roundup Groene Aanslag Prijsstickers - V35843;202049048_roundup_11.pdf
6;Roundup.pdf;Groene Aanslag Reiniger Concentraat 400ml;32910;3340023;8711969032927;12;19,95;Wit (diap);donker groen (PMS: 2266);2021;75;Roundup Groene Aanslag Prijsstickers - V35843;202049048_roundup_12.pdf
