Nr;Logo;artikelomschrijving;Bestelnr;artnr;barcode;eenheid;Prijs;Tekst;HART;rechtsonder;vanset;omschrijving;beeld
1;Pokon (diap);Bio Tegen Hardnekkige Insecten Concentraat 175ml ;2243;7074026100;8711969027770;6;16,25;Wit (diap);donker groen (PMS: 2266);2021;75;Pokon Bio Tegen Hardnekkige Insecten Display Prijsstickers - V35743;202049048_pokon_4.pdf
2;Pokon (diap);Bio Tegen Hardnekkige Insecten Concentraat 175ml ;2243;7074026100;8711969027770;6;16,25;Wit (diap);donker groen (PMS: 2266);2021;75;Pokon Bio Tegen Hardnekkige Insecten Display Prijsstickers - V35743;202049048_pokon_5.pdf
3;Pokon (diap);Bio Tegen Hardnekkige Insecten Spray 800ml;2244;7072031100;8711969027817;6;15,25;Wit (diap);donker groen (PMS: 2266);2021;75;Pokon Bio Tegen Hardnekkige Insecten Display Prijsstickers - V35743;202049048_pokon_6.pdf
4;Pokon (diap);Bio Tegen Hardnekkige Insecten Spray 800ml;2244;7072031100;8711969027817;6;15,25;Wit (diap);donker groen (PMS: 2266);2021;75;Pokon Bio Tegen Hardnekkige Insecten Display Prijsstickers - V35743;202049048_pokon_7.pdf
5;Pokon (diap);Bio Tegen Hardnekkige Insecten Spray 800ml;2244;7072031100;8711969027817;6;15,25;Wit (diap);donker groen (PMS: 2266);2021;75;Pokon Bio Tegen Hardnekkige Insecten Display Prijsstickers - V35743;202049048_pokon_8.pdf
6;Pokon (diap);Bio Tegen Hardnekkige Insecten Spray 800ml;2244;7072031100;8711969027817;6;15,25;Wit (diap);donker groen (PMS: 2266);2021;75;Pokon Bio Tegen Hardnekkige Insecten Display Prijsstickers - V35743;202049048_pokon_9.pdf
