CodePL;QRMaat5;Fabricname;CategoryGroupPL;Description;yarncount;EasyCareRating;PC;K1;K2;K3;pdf;FABRIK1;r2;r3;r4;r5;r6
SH00037;FR_EAAAAJ+BWJRo5ypZmCN8phWSPIkVdPwu507lAH5B1tdAo/oe;Stretch Fine Twill;Stretch;CO/EA-170gr;Single;Easy Care 3;PC05;icoon7551U.pdf;icoonleeg.pdf;icoonleeg.pdf;leeg.pdf;STRETCH FINE TWILL;STRETCH;CO/EA-170GR;SINGLE;EASY CARE 3;PC05
SH00038;FR_EAAAAPXMAFEfT61AhX7NlSd7hKD4Wnohtqb50EDBtRnpD03l;Stretch Fine Twill;Stretch;CO/EA-170gr;Single;Easy Care 3;PC05;icoon7551U.pdf;icoonleeg.pdf;icoonleeg.pdf;leeg.pdf;STRETCH FINE TWILL;STRETCH;CO/EA-170GR;SINGLE;EASY CARE 3;PC05
SH00039;FR_EAAAACr3pydM0wK7AGeh7O9p9kdw4bpcuuHkNX4ylQUirJlR;Stretch Fine Twill;Stretch;CO/EA-170gr;Single;Easy Care 3;PC05;icoon7551U.pdf;icoonleeg.pdf;icoonleeg.pdf;leeg.pdf;STRETCH FINE TWILL;STRETCH;CO/EA-170GR;SINGLE;EASY CARE 3;PC05
SH00040;FR_EAAAAGYqPtVr50ggzXL22o5K5NovClS3t0WdIRJZ5chFLiIh;Stretch Sateen;Stretch;CO/EA-170gr;Single;Easy Care 3;PC05;icoon7551U.pdf;icoonleeg.pdf;icoonleeg.pdf;leeg.pdf;STRETCH SATEEN;STRETCH;CO/EA-170GR;SINGLE;EASY CARE 3;PC05
SH00041;FR_EAAAAOmly9KbedBoNglTKIyJ6to236fGoidk0rSyzu/z3BHF;Stretch Sateen;Stretch;CO/PA/EA-170gr;Single;Easy Care 3;PC05;icoon7551U.pdf;icoonleeg.pdf;icoonleeg.pdf;leeg.pdf;STRETCH SATEEN;STRETCH;CO/PA/EA-170GR;SINGLE;EASY CARE 3;PC05
SH00042;FR_EAAAAOUgP9ZMRT1V3ghSSuL5ZPEzfLxJ/SXGyrPj772T06VV;Stretch Sateen;Stretch;CO/PA/EA-170gr;Single;Easy Care 3;PC05;icoon7551U.pdf;icoonleeg.pdf;icoonleeg.pdf;leeg.pdf;STRETCH SATEEN;STRETCH;CO/PA/EA-170GR;SINGLE;EASY CARE 3;PC05
SH00043;FR_EAAAAKpk+O7d8wmOpvvmBrgDzi8PmDpQbpx/3sOTKlicJVOJ;Stretch Poplin;Stretch;CO/EA-170gr;Single;Easy Care 3;PC05;icoon7551U.pdf;icoonleeg.pdf;icoonleeg.pdf;leeg.pdf;STRETCH POPLIN;STRETCH;CO/EA-170GR;SINGLE;EASY CARE 3;PC05
SH00044;FR_EAAAAEoXjX0STTtLQXrrp7cEOXyzHt2yGcVoNymfbQ6ixkzV;Stretch Poplin;Stretch;CO/EA-170gr;Single;Easy Care 3;PC05;icoon7551U.pdf;icoonleeg.pdf;icoonleeg.pdf;leeg.pdf;STRETCH POPLIN;STRETCH;CO/EA-170GR;SINGLE;EASY CARE 3;PC05
SH00045;FR_EAAAAF0r7R+1kUN88KOULAjlChcYaAjtWB3mEtiDvGTSNp+y;Stretch Poplin;Stretch;CO/EA-170gr;Single;Easy Care 3;PC05;icoon7551U.pdf;icoonleeg.pdf;icoonleeg.pdf;leeg.pdf;STRETCH POPLIN;STRETCH;CO/EA-170GR;SINGLE;EASY CARE 3;PC05
SH00046;FR_EAAAAKMIsIZB/ahGZV7PpPEkprQwvJJTc9n/TrJXePA+g1Ya;Stretch Poplin;Stretch;CO/EA-170gr;Single;Easy Care 3;PC05;icoon7551U.pdf;icoonleeg.pdf;icoonleeg.pdf;leeg.pdf;STRETCH POPLIN;STRETCH;CO/EA-170GR;SINGLE;EASY CARE 3;PC05
SH00047;FR_EAAAAPpOBW+R+zQGrf22pHYagxoW3leJ00vZzZCjdCApLliw;Pin Point;Oxford & Other;CO-200gr;Single;Easy Care 3;PC05;icoonleeg.pdf;icoonleeg.pdf;icoonleeg.pdf;leeg.pdf;PIN POINT;OXFORD & OTHER;CO-200GR;SINGLE;EASY CARE 3;PC05
SH00048;FR_EAAAAHijpU+TekxrjtGz9N0UgmRL60Ky6HO/G/s/+gVL7BCJ;Pin Point;Oxford & Other;CO-190gr;Single;Easy Care 3;PC05;icoonleeg.pdf;icoonleeg.pdf;icoonleeg.pdf;leeg.pdf;PIN POINT;OXFORD & OTHER;CO-190GR;SINGLE;EASY CARE 3;PC05
